Federal Information Processing Standards (FIPS) Code,State,Area name,Rural-Urban Continuum Code 2013,Population 1990,Population 2000,Population 2010,Population 2020,Population 2021
0,US,United States,,248790925.00 ,281424600.00 ,308745538.00 ,331449281.00 ,331893745.00 
1000,AL,Alabama,,4040389.00 ,4447207.00 ,4779736.00 ,5024279.00 ,5039877.00 
1001,AL,Autauga County,2,34222.00 ,43751.00 ,54571.00 ,58805.00 ,59095.00 
1003,AL,Baldwin County,3,98280.00 ,140416.00 ,182265.00 ,231767.00 ,239294.00 
1005,AL,Barbour County,6,25417.00 ,29042.00 ,27457.00 ,25223.00 ,24964.00 
1007,AL,Bibb County,1,16598.00 ,19856.00 ,22915.00 ,22293.00 ,22477.00 
1009,AL,Blount County,1,39248.00 ,50982.00 ,57322.00 ,59134.00 ,59041.00 
1011,AL,Bullock County,6,11042.00 ,11603.00 ,10914.00 ,10357.00 ,10320.00 
1013,AL,Butler County,6,21892.00 ,21394.00 ,20947.00 ,19051.00 ,18884.00 
1015,AL,Calhoun County,3,116032.00 ,111882.00 ,118572.00 ,116441.00 ,115972.00 
1017,AL,Chambers County,6,36876.00 ,36600.00 ,34215.00 ,34772.00 ,34541.00 
1019,AL,Cherokee County,6,19543.00 ,23909.00 ,25989.00 ,24971.00 ,24996.00 
1021,AL,Chilton County,1,32458.00 ,39604.00 ,43643.00 ,45014.00 ,45274.00 
1023,AL,Choctaw County,9,16018.00 ,15953.00 ,13859.00 ,12665.00 ,12533.00 
1025,AL,Clarke County,7,27240.00 ,27870.00 ,25833.00 ,23087.00 ,22760.00 
1027,AL,Clay County,9,13252.00 ,14240.00 ,13932.00 ,14236.00 ,14190.00 
1029,AL,Cleburne County,8,12730.00 ,14141.00 ,14972.00 ,15056.00 ,15103.00 
1031,AL,Coffee County,4,40240.00 ,43639.00 ,49948.00 ,53465.00 ,54174.00 
1033,AL,Colbert County,3,51666.00 ,54979.00 ,54428.00 ,57227.00 ,57474.00 
1035,AL,Conecuh County,7,14054.00 ,14077.00 ,13228.00 ,11597.00 ,11328.00 
1037,AL,Coosa County,8,11063.00 ,11842.00 ,11539.00 ,10387.00 ,10450.00 
1039,AL,Covington County,6,36478.00 ,37640.00 ,37765.00 ,37570.00 ,37524.00 
1041,AL,Crenshaw County,8,13635.00 ,13657.00 ,13906.00 ,13194.00 ,13083.00 
1043,AL,Cullman County,4,67613.00 ,77426.00 ,80406.00 ,87866.00 ,89496.00 
1045,AL,Dale County,4,49633.00 ,49120.00 ,50251.00 ,49326.00 ,49342.00 
1047,AL,Dallas County,4,48130.00 ,46361.00 ,43820.00 ,38462.00 ,37619.00 
1049,AL,DeKalb County,6,54651.00 ,64436.00 ,71109.00 ,71608.00 ,71813.00 
1051,AL,Elmore County,2,49210.00 ,65819.00 ,79303.00 ,87977.00 ,89304.00 
1053,AL,Escambia County,6,35518.00 ,38452.00 ,38319.00 ,36757.00 ,36699.00 
1055,AL,Etowah County,3,99840.00 ,103448.00 ,104430.00 ,103436.00 ,103162.00 
1057,AL,Fayette County,6,17962.00 ,18522.00 ,17241.00 ,16321.00 ,16148.00 
1059,AL,Franklin County,6,27814.00 ,31257.00 ,31704.00 ,32113.00 ,32013.00 
1061,AL,Geneva County,3,23647.00 ,25700.00 ,26790.00 ,26659.00 ,26701.00 
1063,AL,Greene County,8,10153.00 ,9923.00 ,9045.00 ,7730.00 ,7629.00 
1065,AL,Hale County,3,15498.00 ,18270.00 ,15760.00 ,14785.00 ,14754.00 
1067,AL,Henry County,3,15374.00 ,16297.00 ,17302.00 ,17146.00 ,17459.00 
1069,AL,Houston County,3,81331.00 ,88831.00 ,101547.00 ,107202.00 ,107458.00 
1071,AL,Jackson County,6,47796.00 ,53871.00 ,53227.00 ,52579.00 ,52773.00 
1073,AL,Jefferson County,1,651520.00 ,662041.00 ,658466.00 ,674721.00 ,667820.00 
1075,AL,Lamar County,8,15715.00 ,15902.00 ,14564.00 ,13972.00 ,13689.00 
1077,AL,Lauderdale County,3,79661.00 ,87952.00 ,92709.00 ,93564.00 ,94043.00 
1079,AL,Lawrence County,3,31513.00 ,34834.00 ,34339.00 ,33073.00 ,33090.00 
1081,AL,Lee County,3,87146.00 ,115014.00 ,140247.00 ,174241.00 ,177218.00 
1083,AL,Limestone County,2,54135.00 ,65668.00 ,82782.00 ,103570.00 ,107517.00 
1085,AL,Lowndes County,2,12658.00 ,13483.00 ,11299.00 ,10311.00 ,9965.00 
1087,AL,Macon County,6,24928.00 ,24086.00 ,21452.00 ,19532.00 ,18895.00 
1089,AL,Madison County,2,238912.00 ,276998.00 ,334811.00 ,388153.00 ,395211.00 
1091,AL,Marengo County,7,23084.00 ,22533.00 ,21027.00 ,19323.00 ,18996.00 
1093,AL,Marion County,7,29830.00 ,31162.00 ,30776.00 ,29341.00 ,29246.00 
1095,AL,Marshall County,4,70832.00 ,82303.00 ,93019.00 ,97612.00 ,98228.00 
1097,AL,Mobile County,2,378643.00 ,399887.00 ,412992.00 ,414809.00 ,413073.00 
1099,AL,Monroe County,7,23968.00 ,24320.00 ,23068.00 ,19772.00 ,19648.00 
1101,AL,Montgomery County,2,209085.00 ,223518.00 ,229363.00 ,228954.00 ,227434.00 
1103,AL,Morgan County,3,100043.00 ,111076.00 ,119490.00 ,123421.00 ,123668.00 
1105,AL,Perry County,8,12759.00 ,11876.00 ,10591.00 ,8511.00 ,8355.00 
1107,AL,Pickens County,3,20699.00 ,20914.00 ,19746.00 ,19123.00 ,18801.00 
1109,AL,Pike County,6,27595.00 ,29688.00 ,32899.00 ,33009.00 ,32991.00 
1111,AL,Randolph County,6,19881.00 ,22344.00 ,22913.00 ,21967.00 ,21989.00 
1113,AL,Russell County,2,46860.00 ,49854.00 ,52947.00 ,59183.00 ,58722.00 
1115,AL,St. Clair County,1,49811.00 ,64740.00 ,83593.00 ,91103.00 ,92748.00 
1117,AL,Shelby County,1,99363.00 ,143429.00 ,195085.00 ,223024.00 ,226902.00 
1119,AL,Sumter County,8,16174.00 ,14772.00 ,13763.00 ,12345.00 ,12164.00 
1121,AL,Talladega County,4,74109.00 ,80734.00 ,82291.00 ,82149.00 ,81524.00 
1123,AL,Tallapoosa County,6,38826.00 ,41771.00 ,41616.00 ,41311.00 ,41023.00 
1125,AL,Tuscaloosa County,3,150500.00 ,164932.00 ,194656.00 ,227036.00 ,227007.00 
1127,AL,Walker County,1,67670.00 ,70688.00 ,67023.00 ,65342.00 ,64818.00 
1129,AL,Washington County,8,16694.00 ,18077.00 ,17581.00 ,15388.00 ,15147.00 
1131,AL,Wilcox County,9,13568.00 ,12995.00 ,11670.00 ,10600.00 ,10446.00 
1133,AL,Winston County,6,22053.00 ,24806.00 ,24484.00 ,23540.00 ,23652.00 
2000,AK,Alaska,,550043.00 ,626933.00 ,710231.00 ,733391.00 ,732673.00 
2013,AK,Aleutians East Borough,9,2464.00 ,2697.00 ,3141.00 ,3420.00 ,3398.00 
2016,AK,Aleutians West Census Area,9,9478.00 ,5464.00 ,5561.00 ,5232.00 ,5059.00 
2020,AK,Anchorage Municipality,2,226338.00 ,260299.00 ,291826.00 ,291247.00 ,288121.00 
2050,AK,Bethel Census Area,7,13660.00 ,16046.00 ,17013.00 ,18666.00 ,18557.00 
2060,AK,Bristol Bay Borough,9,1410.00 ,1258.00 ,997.00 ,844.00 ,838.00 
2063,AK,Chugach Census Area,,,,,7102.00 ,6941.00 
2066,AK,Copper River Census Area,,,,,2617.00 ,2630.00 
2068,AK,Denali Borough,8,1682.00 ,1893.00 ,1826.00 ,1619.00 ,1593.00 
2070,AK,Dillingham Census Area,9,4010.00 ,4922.00 ,4847.00 ,4857.00 ,4772.00 
2090,AK,Fairbanks North Star Borough,3,77720.00 ,82849.00 ,97581.00 ,95655.00 ,95593.00 
2100,AK,Haines Borough,9,2117.00 ,2392.00 ,2508.00 ,2080.00 ,2071.00 
2105,AK,Hoonah-Angoon Census Area,9,,2574.00 ,2150.00 ,2365.00 ,2332.00 
2110,AK,Juneau City and Borough,5,26752.00 ,30704.00 ,31275.00 ,32255.00 ,31973.00 
2122,AK,Kenai Peninsula Borough,7,40802.00 ,49673.00 ,55400.00 ,58799.00 ,59767.00 
2130,AK,Ketchikan Gateway Borough,7,13828.00 ,14074.00 ,13477.00 ,13948.00 ,13754.00 
2150,AK,Kodiak Island Borough,7,13309.00 ,13916.00 ,13592.00 ,13101.00 ,12787.00 
2158,AK,Kusilvak Census Area,9,5789.00 ,7028.00 ,7459.00 ,8368.00 ,8360.00 
2164,AK,Lake and Peninsula Borough,9,1666.00 ,1823.00 ,1631.00 ,1476.00 ,1416.00 
2170,AK,Matanuska-Susitna Borough,2,39683.00 ,59318.00 ,88995.00 ,107081.00 ,110686.00 
2180,AK,Nome Census Area,7,8288.00 ,9196.00 ,9492.00 ,10046.00 ,9865.00 
2185,AK,North Slope Borough,7,5986.00 ,7385.00 ,9430.00 ,11031.00 ,10972.00 
2188,AK,Northwest Arctic Borough,7,6106.00 ,7208.00 ,7523.00 ,7793.00 ,7560.00 
2195,AK,Petersburg Borough,9,,4256.00 ,3815.00 ,3398.00 ,3356.00 
2198,AK,Prince of Wales-Hyder Census Area,9,,6124.00 ,5559.00 ,5753.00 ,5729.00 
2201,AK,Prince of Wales-Outer Ketchikan Census Area,,6278.00 ,,,,
2220,AK,Sitka City and Borough,7,8588.00 ,8835.00 ,8881.00 ,8458.00 ,8407.00 
2230,AK,Skagway Municipality,9,,860.00 ,968.00 ,1240.00 ,1132.00 
2232,AK,Skagway-Hoonah-Angoon Census Area,,3679.00 ,,,,
2240,AK,Southeast Fairbanks Census Area,9,5925.00 ,6174.00 ,7029.00 ,6808.00 ,6970.00 
2261,AK,Valdez-Cordova Census Area,9,9920.00 ,10195.00 ,9636.00 ,,
2275,AK,Wrangell City and Borough,9,,2452.00 ,2369.00 ,2127.00 ,2055.00 
2280,AK,Wrangell-Petersburg Census Area,,7042.00 ,,,,
2282,AK,Yakutat City and Borough,9,725.00 ,808.00 ,662.00 ,662.00 ,704.00 
2290,AK,Yukon-Koyukuk Census Area,9,6798.00 ,6510.00 ,5588.00 ,5343.00 ,5275.00 
4000,AZ,Arizona,,3665339.00 ,5130247.00 ,6392017.00 ,7151502.00 ,7276316.00 
4001,AZ,Apache County,6,61591.00 ,69430.00 ,71518.00 ,66021.00 ,65623.00 
4003,AZ,Cochise County,3,97624.00 ,117743.00 ,131346.00 ,125447.00 ,126050.00 
4005,AZ,Coconino County,3,96591.00 ,116320.00 ,134421.00 ,145101.00 ,145052.00 
4007,AZ,Gila County,4,40216.00 ,51298.00 ,53597.00 ,53272.00 ,53589.00 
4009,AZ,Graham County,7,26554.00 ,33475.00 ,37220.00 ,38533.00 ,39050.00 
4011,AZ,Greenlee County,7,8008.00 ,8539.00 ,8437.00 ,9563.00 ,9404.00 
4012,AZ,La Paz County,6,13844.00 ,19670.00 ,20489.00 ,16557.00 ,16408.00 
4013,AZ,Maricopa County,1,2122101.00 ,3072415.00 ,3817117.00 ,4420568.00 ,4496588.00 
4015,AZ,Mohave County,3,93497.00 ,154981.00 ,200186.00 ,213267.00 ,217692.00 
4017,AZ,Navajo County,4,77674.00 ,97452.00 ,107449.00 ,106717.00 ,108147.00 
4019,AZ,Pima County,2,666957.00 ,843702.00 ,980263.00 ,1043433.00 ,1052030.00 
4021,AZ,Pinal County,1,116397.00 ,179469.00 ,375770.00 ,425264.00 ,449557.00 
4023,AZ,Santa Cruz County,4,29676.00 ,38381.00 ,47420.00 ,47669.00 ,47883.00 
4025,AZ,Yavapai County,3,107714.00 ,167377.00 ,211033.00 ,236209.00 ,242253.00 
4027,AZ,Yuma County,3,106895.00 ,159995.00 ,195751.00 ,203881.00 ,206990.00 
5000,AR,Arkansas,,2350624.00 ,2673293.00 ,2915918.00 ,3011524.00 ,3025891.00 
5001,AR,Arkansas County,6,21653.00 ,20751.00 ,19019.00 ,17149.00 ,16722.00 
5003,AR,Ashley County,7,24319.00 ,24217.00 ,21853.00 ,19062.00 ,18674.00 
5005,AR,Baxter County,7,31186.00 ,38365.00 ,41513.00 ,41627.00 ,42144.00 
5007,AR,Benton County,2,97530.00 ,153323.00 ,221339.00 ,284333.00 ,293692.00 
5009,AR,Boone County,7,28297.00 ,33940.00 ,36903.00 ,37373.00 ,37830.00 
5011,AR,Bradley County,7,11793.00 ,12618.00 ,11508.00 ,10545.00 ,10408.00 
5013,AR,Calhoun County,9,5826.00 ,5731.00 ,5368.00 ,4739.00 ,4741.00 
5015,AR,Carroll County,6,18623.00 ,25345.00 ,27446.00 ,28260.00 ,28435.00 
5017,AR,Chicot County,7,15713.00 ,14101.00 ,11800.00 ,10208.00 ,10019.00 
5019,AR,Clark County,7,21437.00 ,23541.00 ,22995.00 ,21446.00 ,21321.00 
5021,AR,Clay County,7,18107.00 ,17594.00 ,16083.00 ,14552.00 ,14350.00 
5023,AR,Cleburne County,6,19411.00 ,24005.00 ,25970.00 ,24711.00 ,25015.00 
5025,AR,Cleveland County,3,7781.00 ,8562.00 ,8689.00 ,7550.00 ,7514.00 
5027,AR,Columbia County,7,25691.00 ,25612.00 ,24552.00 ,22801.00 ,22672.00 
5029,AR,Conway County,6,19151.00 ,20320.00 ,21273.00 ,20715.00 ,20873.00 
5031,AR,Craighead County,3,68956.00 ,82139.00 ,96443.00 ,111231.00 ,112218.00 
5033,AR,Crawford County,2,42493.00 ,53252.00 ,61948.00 ,60133.00 ,60378.00 
5035,AR,Crittenden County,1,49939.00 ,50855.00 ,50902.00 ,48163.00 ,47525.00 
5037,AR,Cross County,6,19225.00 ,19529.00 ,17870.00 ,16833.00 ,16681.00 
5039,AR,Dallas County,6,9614.00 ,9196.00 ,8116.00 ,6482.00 ,6308.00 
5041,AR,Desha County,6,16798.00 ,15351.00 ,13008.00 ,11395.00 ,11090.00 
5043,AR,Drew County,6,17369.00 ,18690.00 ,18509.00 ,17350.00 ,17110.00 
5045,AR,Faulkner County,2,60006.00 ,86036.00 ,113237.00 ,123498.00 ,125106.00 
5047,AR,Franklin County,6,14897.00 ,17766.00 ,18125.00 ,17097.00 ,17173.00 
5049,AR,Fulton County,9,10037.00 ,11627.00 ,12245.00 ,12075.00 ,12145.00 
5051,AR,Garland County,3,73397.00 ,88122.00 ,96024.00 ,100180.00 ,100330.00 
5053,AR,Grant County,2,13948.00 ,16457.00 ,17853.00 ,17958.00 ,18090.00 
5055,AR,Greene County,4,31804.00 ,37383.00 ,42090.00 ,45736.00 ,46317.00 
5057,AR,Hempstead County,6,21621.00 ,23597.00 ,22609.00 ,20065.00 ,19694.00 
5059,AR,Hot Spring County,6,26115.00 ,30413.00 ,32923.00 ,33040.00 ,33148.00 
5061,AR,Howard County,6,13569.00 ,14304.00 ,13789.00 ,12785.00 ,12698.00 
5063,AR,Independence County,7,31192.00 ,34246.00 ,36647.00 ,37938.00 ,37723.00 
5065,AR,Izard County,9,11364.00 ,13261.00 ,13696.00 ,13577.00 ,13911.00 
5067,AR,Jackson County,6,18944.00 ,18420.00 ,17997.00 ,16755.00 ,16811.00 
5069,AR,Jefferson County,3,85487.00 ,84295.00 ,77435.00 ,67260.00 ,65861.00 
5071,AR,Johnson County,7,18221.00 ,22779.00 ,25540.00 ,25749.00 ,25845.00 
5073,AR,Lafayette County,8,9643.00 ,8550.00 ,7645.00 ,6308.00 ,6163.00 
5075,AR,Lawrence County,6,17455.00 ,17762.00 ,17415.00 ,16216.00 ,16292.00 
5077,AR,Lee County,7,13053.00 ,12578.00 ,10424.00 ,8600.00 ,8619.00 
5079,AR,Lincoln County,3,13690.00 ,14482.00 ,14134.00 ,12941.00 ,13037.00 
5081,AR,Little River County,3,13966.00 ,13628.00 ,13171.00 ,12026.00 ,11944.00 
5083,AR,Logan County,6,20557.00 ,22480.00 ,22353.00 ,21131.00 ,21215.00 
5085,AR,Lonoke County,2,39268.00 ,52849.00 ,68356.00 ,74015.00 ,74722.00 
5087,AR,Madison County,2,11618.00 ,14228.00 ,15717.00 ,16521.00 ,16960.00 
5089,AR,Marion County,9,12001.00 ,16147.00 ,16653.00 ,16826.00 ,16978.00 
5091,AR,Miller County,3,38467.00 ,40455.00 ,43462.00 ,42600.00 ,42649.00 
5093,AR,Mississippi County,4,57525.00 ,51999.00 ,46480.00 ,40685.00 ,39661.00 
5095,AR,Monroe County,7,11333.00 ,10255.00 ,8149.00 ,6799.00 ,6683.00 
5097,AR,Montgomery County,8,7841.00 ,9222.00 ,9487.00 ,8484.00 ,8611.00 
5099,AR,Nevada County,7,10101.00 ,9940.00 ,8997.00 ,8310.00 ,8187.00 
5101,AR,Newton County,9,7666.00 ,8603.00 ,8330.00 ,7225.00 ,7204.00 
5103,AR,Ouachita County,7,30574.00 ,28776.00 ,26120.00 ,22650.00 ,22306.00 
5105,AR,Perry County,2,7969.00 ,10199.00 ,10445.00 ,10019.00 ,9964.00 
