State,County Name,"Median Home Price
Q1 2022","Monthly Payment
Q1 2022","Monthly Payment
Q1 2021"
Alabama,Autauga County,193870.00 ,810.00 ,600.00 
Alabama,Baldwin County,314020.00 ,1320.00 ,990.00 
Alabama,Barbour County,105120.00 ,440.00 ,330.00 
Alabama,Bibb County,117160.00 ,490.00 ,370.00 
Alabama,Blount County,164430.00 ,690.00 ,510.00 
Alabama,Bullock County,90900.00 ,380.00 ,290.00 
Alabama,Butler County,119210.00 ,500.00 ,370.00 
Alabama,Calhoun County,146080.00 ,610.00 ,460.00 
Alabama,Chambers County,126140.00 ,530.00 ,400.00 
Alabama,Cherokee County,168310.00 ,700.00 ,530.00 
Alabama,Chilton County,127000.00 ,530.00 ,400.00 
Alabama,Choctaw County,92240.00 ,390.00 ,290.00 
Alabama,Clarke County,129540.00 ,540.00 ,410.00 
Alabama,Clay County,141090.00 ,590.00 ,440.00 
Alabama,Cleburne County,144250.00 ,600.00 ,450.00 
Alabama,Coffee County,186780.00 ,780.00 ,590.00 
Alabama,Colbert County,158660.00 ,660.00 ,470.00 
Alabama,Conecuh County,101960.00 ,430.00 ,320.00 
Alabama,Coosa County,108400.00 ,450.00 ,340.00 
Alabama,Covington County,121040.00 ,510.00 ,380.00 
Alabama,Crenshaw County,102570.00 ,430.00 ,320.00 
Alabama,Cullman County,170990.00 ,720.00 ,540.00 
Alabama,Dale County,138290.00 ,580.00 ,430.00 
Alabama,Dallas County,102200.00 ,430.00 ,320.00 
Alabama,DeKalb County,125670.00 ,530.00 ,390.00 
Alabama,Elmore County,216860.00 ,910.00 ,670.00 
Alabama,Escambia County,122500.00 ,510.00 ,380.00 
Alabama,Etowah County,169640.00 ,710.00 ,510.00 
Alabama,Fayette County,112290.00 ,470.00 ,350.00 
Alabama,Franklin County,125170.00 ,520.00 ,390.00 
Alabama,Geneva County,128120.00 ,540.00 ,410.00 
Alabama,Greene County,89840.00 ,380.00 ,290.00 
Alabama,Hale County,107880.00 ,450.00 ,350.00 
Alabama,Henry County,140650.00 ,590.00 ,450.00 
Alabama,Houston County,167590.00 ,700.00 ,530.00 
Alabama,Jackson County,131120.00 ,550.00 ,410.00 
