Geography,Name,Caucasian Rate,African American Rate,Asian Rate,American Indian& Alaska Native Rate,other rate
0500000US01001,"Autauga County, Alabama",0.7170 ,0.1946 ,0.0150 ,0.0037 ,0.0698 
0500000US01003,"Baldwin County, Alabama",0.8172 ,0.0786 ,0.0089 ,0.0068 ,0.0885 
0500000US01005,"Barbour County, Alabama",0.4487 ,0.4731 ,0.0046 ,0.0046 ,0.0690 
0500000US01007,"Bibb County, Alabama",0.7426 ,0.1980 ,0.0014 ,0.0027 ,0.0553 
0500000US01009,"Blount County, Alabama",0.8568 ,0.0143 ,0.0030 ,0.0057 ,0.1203 
0500000US01011,"Bullock County, Alabama",0.2240 ,0.7141 ,0.0009 ,0.0070 ,0.0541 
0500000US01013,"Butler County, Alabama",0.5119 ,0.4425 ,0.0075 ,0.0015 ,0.0366 
0500000US01015,"Calhoun County, Alabama",0.6921 ,0.2195 ,0.0102 ,0.0042 ,0.0740 
0500000US01017,"Chambers County, Alabama",0.5421 ,0.3886 ,0.0115 ,0.0031 ,0.0547 
0500000US01019,"Cherokee County, Alabama",0.9093 ,0.0395 ,0.0022 ,0.0044 ,0.0445 
0500000US01021,"Chilton County, Alabama",0.7892 ,0.0904 ,0.0040 ,0.0075 ,0.1089 
0500000US01023,"Choctaw County, Alabama",0.5586 ,0.4131 ,0.0017 ,0.0024 ,0.0242 
0500000US01025,"Clarke County, Alabama",0.5210 ,0.4442 ,0.0041 ,0.0032 ,0.0275 
0500000US01027,"Clay County, Alabama",0.7990 ,0.1379 ,0.0034 ,0.0039 ,0.0558 
0500000US01029,"Cleburne County, Alabama",0.9178 ,0.0310 ,0.0014 ,0.0035 ,0.0463 
0500000US01031,"Coffee County, Alabama",0.6935 ,0.1639 ,0.0170 ,0.0120 ,0.1136 
0500000US01033,"Colbert County, Alabama",0.7624 ,0.1623 ,0.0076 ,0.0047 ,0.0631 
0500000US01035,"Conecuh County, Alabama",0.5098 ,0.4401 ,0.0035 ,0.0062 ,0.0404 
0500000US01037,"Coosa County, Alabama",0.6570 ,0.2896 ,0.0008 ,0.0030 ,0.0497 
0500000US01039,"Covington County, Alabama",0.8219 ,0.1226 ,0.0064 ,0.0039 ,0.0452 
