,Name,Median_age
0,"Autauga County, Alabama",38.2
1,"Baldwin County, Alabama",43.0
2,"Barbour County, Alabama",40.4
3,"Bibb County, Alabama",40.9
4,"Blount County, Alabama",40.7
5,"Bullock County, Alabama",40.2
6,"Butler County, Alabama",40.8
7,"Calhoun County, Alabama",39.6
8,"Chambers County, Alabama",42.0
9,"Cherokee County, Alabama",46.5
10,"Chilton County, Alabama",38.7
11,"Choctaw County, Alabama",46.3
12,"Clarke County, Alabama",42.5
13,"Clay County, Alabama",43.3
14,"Cleburne County, Alabama",43.1
15,"Coffee County, Alabama",39.3
16,"Colbert County, Alabama",42.4
17,"Conecuh County, Alabama",44.8
18,"Coosa County, Alabama",48.4
19,"Covington County, Alabama",43.3
20,"Crenshaw County, Alabama",41.7
21,"Cullman County, Alabama",40.8
22,"Dale County, Alabama",37.3
23,"Dallas County, Alabama",39.6
24,"DeKalb County, Alabama",39.5
25,"Elmore County, Alabama",38.7
26,"Escambia County, Alabama",40.0
27,"Etowah County, Alabama",41.4
28,"Fayette County, Alabama",43.7
29,"Franklin County, Alabama",38.6
30,"Geneva County, Alabama",43.2
31,"Greene County, Alabama",40.9
32,"Hale County, Alabama",40.5
33,"Henry County, Alabama",44.4
34,"Houston County, Alabama",40.1
35,"Jackson County, Alabama",43.1
36,"Jefferson County, Alabama",37.7
37,"Lamar County, Alabama",44.8
38,"Lauderdale County, Alabama",41.0
39,"Lawrence County, Alabama",42.4
40,"Lee County, Alabama",31.9
41,"Limestone County, Alabama",39.7
42,"Lowndes County, Alabama",42.0
43,"Macon County, Alabama",38.6
44,"Madison County, Alabama",38.5
45,"Marengo County, Alabama",42.2
46,"Marion County, Alabama",44.3
47,"Marshall County, Alabama",38.8
48,"Mobile County, Alabama",37.9
49,"Monroe County, Alabama",43.3
50,"Montgomery County, Alabama",36.4
51,"Morgan County, Alabama",40.6
52,"Perry County, Alabama",36.9
53,"Pickens County, Alabama",42.2
54,"Pike County, Alabama",31.2
55,"Randolph County, Alabama",43.4
56,"Russell County, Alabama",36.3
57,"St. Clair County, Alabama",40.3
58,"Shelby County, Alabama",39.3
59,"Sumter County, Alabama",35.6
60,"Talladega County, Alabama",41.3
61,"Tallapoosa County, Alabama",44.7
62,"Tuscaloosa County, Alabama",33.0
63,"Walker County, Alabama",42.1
64,"Washington County, Alabama",43.7
65,"Wilcox County, Alabama",40.5
66,"Winston County, Alabama",45.2
67,"Aleutians East Borough, Alaska",42.5
68,"Aleutians West Census Area, Alaska",38.6
69,"Anchorage Municipality, Alaska",33.6
70,"Bethel Census Area, Alaska",27.3
71,"Bristol Bay Borough, Alaska",42.9
72,"Denali Borough, Alaska",42.1
73,"Dillingham Census Area, Alaska",30.2
74,"Fairbanks North Star Borough, Alaska",31.3
75,"Haines Borough, Alaska",44.7
76,"Hoonah Angoon Census Area, Alaska",49.6
77,"Juneau City and Borough, Alaska",38.1
78,"Kenai Peninsula Borough, Alaska",40.8
79,"Ketchikan Gateway Borough, Alaska",39.7
80,"Kodiak Island Borough, Alaska",33.9
81,"Kusilvak Census Area, Alaska",24.1
82,"Lake and Peninsula Borough, Alaska",34.8
83,"Matanuska-Susitna Borough, Alaska",35.2
84,"Nome Census Area, Alaska",28.3
85,"North Slope Borough, Alaska",35.2
86,"Northwest Arctic Borough, Alaska",27.8
87,"Petersburg Borough, Alaska",42.8
88,"Prince of Wales-Hyder Census Area, Alaska",41.3
89,"Sitka City and Borough, Alaska",39.5
90,"Skagway, Alaska",40.4
91,"Southeast Fairbanks Census Area, Alaska",36.8
92,"Valdez-Cordova Census Area, Alaska",38.1
93,"Wrangell, Alaska",49.4
94,"Yakutat City and Borough, Alaska",36.9
95,"Yukon-Koyukuk Census Area, Alaska",35.2
96,"Apache County, Arizona",35.0
97,"Cochise County, Arizona",41.1
98,"Coconino County, Arizona",30.7
99,"Gila County, Arizona",50.2
100,"Graham County, Arizona",33.6
101,"Greenlee County, Arizona",34.5
102,"La Paz County, Arizona",56.5
103,"Maricopa County, Arizona",36.4
104,"Mohave County, Arizona",51.6
105,"Navajo County, Arizona",37.3
106,"Pima County, Arizona",38.5
107,"Pinal County, Arizona",39.3
108,"Santa Cruz County, Arizona",36.7
109,"Yavapai County, Arizona",53.4
110,"Yuma County, Arizona",34.6
111,"Arkansas County, Arkansas",40.7
112,"Ashley County, Arkansas",41.7
113,"Baxter County, Arkansas",52.2
114,"Benton County, Arkansas",35.4
115,"Boone County, Arkansas",42.3
116,"Bradley County, Arkansas",40.6
117,"Calhoun County, Arkansas",44.5
118,"Carroll County, Arkansas",45.0
119,"Chicot County, Arkansas",43.3
