,Name,Crime_rate
0,"St. Louis city, Missouri",1791.995377
1,"Crittenden County, Arkansas",1754.914968
2,"Alexander County, Illinois",1664.700485
3,"Kenedy County, Texas",1456.31068
4,"De Soto Parish, Louisiana",1447.40243
5,"Baltimore city, Maryland",1419.537569
6,"Shelby County, Tennessee",1315.003752
7,"Marlboro County, South Carolina",1253.437132
8,"Storey County, Nevada",1217.656012
9,"District of Columbia, District of Columbia",1216.801325
10,"Dillon County, South Carolina",1165.583272
11,"Scott County, Missouri",1163.145839
12,"Philadelphia County, Pennsylvania",1150.29633
13,"Pershing County, Nevada",1148.756725
14,"Greenwood County, South Carolina",1140.226324
15,"Madison County, Tennessee",1138.42383
16,"Davidson County, Tennessee",1129.513728
17,"Marion County, Indiana",1083.508119
18,"Wayne County, Michigan",1065.188284
19,"Jackson County, Missouri",1026.623686
20,"Northwest Arctic Borough, Alaska",1014.964216
21,"Pemiscot County, Missouri",998.7095326
22,"Iberville Parish, Louisiana",974.0162436
23,"Pulaski County, Arkansas",959.9165823
24,"Jefferson County, Arkansas",959.1343198
25,"Miller County, Arkansas",956.1771347
26,"Muskogee County, Oklahoma",954.4400666
27,"Barnwell County, South Carolina",953.9310095
28,"Tangipahoa Parish, Louisiana",952.8593755
29,"Marion County, South Carolina",941.6313295
30,"Dillingham Census Area, Alaska",938.1237525
31,"Dougherty County, Georgia",930.4176661
32,"Carter County, Oklahoma",930.0694974
33,"Genesee County, Michigan",922.7783984
34,"Macon County, Alabama",919.341731
35,"Milwaukee County, Wisconsin",912.6349471
36,"Richland County, South Carolina",911.4452882
37,"Grundy County, Tennessee",911.2461105
38,"Greene County, Alabama",903.4766697
39,"Rock County, Minnesota",892.8571429
40,"San Joaquin County, California",887.1644385
41,"Pottawattamie County, Iowa",873.5225606
42,"Nolan County, Texas",871.1844118
43,"Kodiak Island Borough, Alaska",856.0311284
44,"Winnebago County, Illinois",854.9331535
45,"Suffolk County, Massachusetts",831.2342903
46,"Saginaw County, Michigan",828.830479
47,"Dallas County, Alabama",828.6503477
48,"Fulton County, Georgia",826.1767583
49,"Anchorage Municipality, Alaska",824.7217146
50,"Madison County, Florida",822.2981632
51,"Phillips County, Arkansas",818.6675817
52,"Sangamon County, Illinois",817.9969369
53,"Haywood County, Tennessee",812.1158911
54,"Lucas County, Ohio",810.9662621
55,"Robeson County, North Carolina",809.8427036
56,"Meade County, Kansas",805.8945429
57,"Escambia County, Florida",798.51676
58,"Jefferson County, Alabama",798.3574913
59,"Nicholas County, West Virginia",793.3756981
60,"Franklin County, Florida",793.2402138
61,"St. Clair County, Illinois",782.1542957
62,"Orleans Parish, Louisiana",782.1184796
63,"Ector County, Texas",781.9089826
64,"Avoyelles Parish, Louisiana",777.2585293
65,"Rapides Parish, Louisiana",773.792033
66,"Sumter County, South Carolina",767.644257
67,"Comanche County, Oklahoma",766.7864604
68,"Mississippi County, Arkansas",763.9897241
69,"Colleton County, South Carolina",762.1467132
70,"Modoc County, California",754.3456871
71,"Alameda County, California",753.6935735
72,"Sumter County, Georgia",752.455044
73,"Darlington County, South Carolina",746.3016118
74,"Red River Parish, Louisiana",742.0733078
75,"Lubbock County, Texas",740.6920961
76,"Socorro County, New Mexico",739.3084622
77,"Duval County, Texas",738.8316151
78,"Bernalillo County, New Mexico",738.4818924
79,"Marion County, Texas",732.7796776
80,"Lee County, South Carolina",730.3646373
81,"Shasta County, California",725.2206951
82,"Laurens County, South Carolina",724.7580365
83,"North Slope Borough, Alaska",722.6925459
84,"Hinds County, Mississippi",721.5219335
85,"Cibola County, New Mexico",720.6877629
