,Name,Price,Internet_coverage_rate,Population,Density,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage,White_percentage,African_percentage,Asian_percentage,Native_percentage,Unemployment_rate,Income,Median_age,Crime_rate
0,"Abbeville County, South Carolina",127500.0,65.700001,24299.0,19.3724049172008,18.3,29.1,35.4,17.1,69.47,25.540000000000003,0.3,0.18,4.5,47219.0,44.3,511.8566801
1,"Acadia Parish, Louisiana",146460.0,70.89999900000001,57288.0,36.8723621120073,15.2,23.1,42.4,19.3,77.25,17.349999999999998,0.27999999999999997,0.26,4.9,45183.0,36.7,163.9765931
2,"Accomack County, Virginia",213440.0,63.800000999999995,33246.0,28.1359681116964,19.7,25.9,36.8,17.5,60.64000000000001,25.95,0.76,0.89,4.3,44127.0,45.9,190.0567153
3,"Ada County, Idaho",475510.0,81.200004,511931.0,163.707537284,40.1,34.4,20.8,4.7,82.89,1.63,2.81,0.66,3.3,73324.0,37.0,206.5004418
4,"Adair County, Iowa",130430.0,71.99999700000001,7541.0,4.83178224385313,19.5,34.9,40.7,5.0,95.37,0.61,0.31,0.25,3.1,55265.0,45.4,66.91648822
5,"Adair County, Kentucky",130170.0,66.60000099999999,18932.0,18.3301557189265,18.4,24.7,39.9,17.0,91.64,2.8000000000000003,0.33999999999999997,0.18,5.0,42429.0,41.8,96.09224856
6,"Adair County, Missouri",156370.0,71.39999900000001,25185.0,17.2353708853361,31.2,24.8,35.1,8.9,86.29,5.050000000000001,2.71,0.2,4.3,49175.0,27.6,215.0789926
7,"Adair County, Oklahoma",112800.0,49.000001,19414.0,14.8826668996061,10.8,24.6,45.8,18.8,39.22,0.21,0.83,43.96,3.7,36749.0,37.2,310.8948364
8,"Adams County, Idaho",321690.0,69.0,4625.0,1.13864015268626,18.8,37.8,36.2,7.2,92.72,0.06999999999999999,0.25,0.8699999999999999,6.6,49967.0,55.2,26.12330199
9,"Adams County, Illinois",150240.0,75.800002,64954.0,29.992259037991,25.2,32.6,34.4,7.8,89.5,3.81,0.7799999999999999,0.16,3.9,57434.0,41.5,303.8879785
10,"Adams County, Indiana",174550.0,67.299998,35961.0,40.0817935078245,15.0,27.9,42.1,15.0,94.03,0.51,0.38,0.29,2.2,58602.0,33.5,23.11203559
11,"Adams County, Iowa",95560.0,72.299999,3641.0,3.39750766351348,17.3,37.2,38.8,6.7,95.33,0.32,0.35000000000000003,0.51,3.0,56291.0,47.3,385.2080123
12,"Adams County, Mississippi",109720.0,70.39999999999999,28742.0,26.3448360714935,17.8,26.0,31.8,24.5,37.22,56.830000000000005,0.5599999999999999,0.22,8.2,36519.0,41.4,246.1826114
13,"Adams County, Nebraska",162640.0,78.499997,31027.0,21.6489607989518,25.6,38.3,27.0,9.1,85.42,0.83,1.38,0.6,2.4,54445.0,37.7,183.4862385
14,"Adams County, North Dakota",105800.0,78.400004,2167.0,0.919113297788114,23.5,33.1,36.2,7.2,92.67999999999999,0.59,1.77,0.64,3.4,50673.0,45.6,0.0
15,"Adams County, Ohio",139830.0,60.000001999999995,27542.0,18.4352832657619,15.5,23.2,43.8,17.5,95.63000000000001,0.31,0.13999999999999999,0.27999999999999997,6.3,42342.0,42.0,67.60362925
16,"Adams County, Washington",214220.0,66.300005,20621.0,3.90155935164216,13.8,23.4,31.7,31.1,44.46,0.2,0.66,2.13,5.5,56421.0,27.9,230.7651964
17,"Adams County, Wisconsin",171870.0,71.200001,20875.0,12.003656983797,14.8,31.5,41.2,12.6,90.7,2.92,0.41000000000000003,0.96,6.2,52060.0,53.8,112.3046875
18,"Adams County, colorado",498870.0,,,,,,,,,,,,,,,
19,"Adams County, pennsylvania",266310.0,,,,,,,,,,,,,,,
20,"Addison County, Vermont",327690.0,80.500001,37260.0,18.6111273289705,41.0,23.3,30.0,5.8,90.45,0.9900000000000001,1.6,0.3,2.8,73049.0,43.5,59.79723302
21,"Aiken County, South Carolina",213590.0,75.5,170776.0,60.199841033341,27.8,29.5,31.9,10.8,65.16999999999999,23.61,1.06,0.41000000000000003,3.4,57128.0,41.0,331.3517201
22,"Aitkin County, Minnesota",223140.0,70.99999799999999,15887.0,3.35577468125594,18.4,38.1,35.6,7.9,92.62,0.4,0.24,2.52,4.7,49822.0,55.5,139.7535256
23,"Alachua County, Florida",300620.0,83.700001,279238.0,116.11221044694,44.1,28.5,20.2,7.2,61.14000000000001,18.73,6.49,0.31,3.7,51995.0,31.6,605.2451953
24,"Alamance County, North Carolina",218570.0,75.9,173877.0,146.419511656808,25.3,34.2,27.9,12.5,61.75000000000001,19.84,1.66,0.83,4.8,53220.0,39.1,436.5907059
25,"Alameda County, California",965590.0,87.5,1648556.0,860.757074949889,48.7,23.2,17.0,11.2,31.14,9.8,32.41,1.17,6.1,113518.0,37.6,753.6935735
26,"Alamosa County, colorado",197440.0,,,,,,,,,,,,,,,
