,Name,Income
0,United States,67340.0
1,Alabama,53958.0
2,"Autauga County, Alabama",67565.0
3,"Baldwin County, Alabama",71135.0
4,"Barbour County, Alabama",38866.0
5,"Bibb County, Alabama",50907.0
6,"Blount County, Alabama",55203.0
7,"Bullock County, Alabama",33124.0
8,"Butler County, Alabama",42268.0
9,"Calhoun County, Alabama",50259.0
10,"Chambers County, Alabama",39318.0
11,"Cherokee County, Alabama",50388.0
12,"Chilton County, Alabama",52693.0
13,"Choctaw County, Alabama",41649.0
14,"Clarke County, Alabama",44178.0
15,"Clay County, Alabama",44763.0
16,"Cleburne County, Alabama",50134.0
17,"Coffee County, Alabama",54203.0
18,"Colbert County, Alabama",54185.0
19,"Conecuh County, Alabama",34664.0
20,"Coosa County, Alabama",46509.0
21,"Covington County, Alabama",43544.0
22,"Crenshaw County, Alabama",45927.0
23,"Cullman County, Alabama",51844.0
24,"Dale County, Alabama",48493.0
25,"Dallas County, Alabama",37679.0
26,"DeKalb County, Alabama",47156.0
27,"Elmore County, Alabama",62524.0
28,"Escambia County, Alabama",41212.0
29,"Etowah County, Alabama",47872.0
30,"Fayette County, Alabama",45937.0
31,"Franklin County, Alabama",40448.0
32,"Geneva County, Alabama",39882.0
33,"Greene County, Alabama",33609.0
34,"Hale County, Alabama",41836.0
35,"Henry County, Alabama",51126.0
36,"Houston County, Alabama",54391.0
37,"Jackson County, Alabama",46606.0
38,"Jefferson County, Alabama",57802.0
39,"Lamar County, Alabama",40204.0
40,"Lauderdale County, Alabama",52293.0
41,"Lawrence County, Alabama",48924.0
42,"Lee County, Alabama",58963.0
43,"Limestone County, Alabama",70850.0
44,"Lowndes County, Alabama",37499.0
45,"Macon County, Alabama",37736.0
46,"Madison County, Alabama",67810.0
47,"Marengo County, Alabama",43198.0
48,"Marion County, Alabama",44333.0
49,"Marshall County, Alabama",51417.0
50,"Mobile County, Alabama",50871.0
51,"Monroe County, Alabama",38812.0
52,"Montgomery County, Alabama",49607.0
53,"Morgan County, Alabama",55688.0
54,"Perry County, Alabama",33712.0
55,"Pickens County, Alabama",41870.0
56,"Pike County, Alabama",43141.0
57,"Randolph County, Alabama",46679.0
58,"Russell County, Alabama",40821.0
59,"St. Clair County, Alabama",61973.0
60,"Shelby County, Alabama",88444.0
61,"Sumter County, Alabama",32275.0
62,"Talladega County, Alabama",44802.0
63,"Tallapoosa County, Alabama",46654.0
64,"Tuscaloosa County, Alabama",56610.0
65,"Walker County, Alabama",46519.0
66,"Washington County, Alabama",36346.0
67,"Wilcox County, Alabama",31909.0
68,"Winston County, Alabama",46453.0
69,Alaska,79961.0
70,"Aleutians East Borough, Alaska",79128.0
71,"Aleutians West Census Area, Alaska",92216.0
72,"Anchorage Borough/municipality, Alaska",84577.0
73,"Bethel Census Area, Alaska",52214.0
74,"Bristol Bay Borough, Alaska",87032.0
75,"Chugach Census Area, Alaska",84063.0
76,"Copper River Census Area, Alaska",61215.0
77,"Denali Borough, Alaska",80192.0
78,"Dillingham Census Area, Alaska",72334.0
79,"Fairbanks North Star Borough, Alaska",76650.0
80,"Haines Borough, Alaska",105044.0
81,"Hoonah-Angoon Census Area, Alaska",55593.0
82,"Juneau Borough/city, Alaska",89204.0
83,"Kenai Peninsula Borough, Alaska",68448.0
84,"Ketchikan Gateway Borough, Alaska",76780.0
85,"Kodiak Island Borough, Alaska",72028.0
86,"Kusilvak Census Area, Alaska",37566.0
87,"Lake and Peninsula Borough, Alaska",54386.0
88,"Matanuska-Susitna Borough, Alaska",89502.0
89,"Nome Census Area, Alaska",64309.0
90,"North Slope Borough, Alaska",94759.0
91,"Northwest Arctic Borough, Alaska",65194.0
92,"Petersburg Borough, Alaska",66096.0
93,"Prince of Wales-Hyder Census Area, Alaska",53638.0
94,"Prince of Wales-Outer Ketchikan Census Area, Alaska",
95,"Sitka Borough/city, Alaska",79363.0
96,"Skagway Municipality, Alaska",78421.0
97,"Skagway-Hoonah-Angoon Census Area, Alaska",
98,"Southeast Fairbanks Census Area, Alaska",64544.0
99,"Valdez-Cordova Census Area, Alaska",
100,"Wrangell Borough/city, Alaska",64643.0
101,"Wrangell-Petersburg Census Area, Alaska",
102,"Yakutat Borough/city, Alaska",68352.0
103,"Yukon-Koyukuk Census Area, Alaska",43060.0
104,Arizona,64652.0
105,"Apache County, Arizona",36319.0
106,"Cochise County, Arizona",51171.0
107,"Coconino County, Arizona",57146.0
108,"Gila County, Arizona",49280.0
109,"Graham County, Arizona",55419.0
110,"Greenlee County, Arizona",67530.0
111,"La Paz County, Arizona",41637.0
112,"Maricopa County, Arizona",71799.0
113,"Mohave County, Arizona",46678.0
114,"Navajo County, Arizona",46698.0
115,"Pima County, Arizona",56551.0
116,"Pinal County, Arizona",66992.0
117,"Santa Cruz County, Arizona",44402.0
118,"Yavapai County, Arizona",58860.0
119,"Yuma County, Arizona",54278.0
120,Arkansas,51146.0
121,"Arkansas County, Arkansas",51186.0
122,"Ashley County, Arkansas",44677.0
123,"Baxter County, Arkansas",44833.0
124,"Benton County, Arkansas",78678.0
125,"Boone County, Arkansas",48153.0
126,"Bradley County, Arkansas",41578.0
127,"Calhoun County, Arkansas",50865.0
128,"Carroll County, Arkansas",45397.0
129,"Chicot County, Arkansas",35992.0
130,"Clark County, Arkansas",46464.0
131,"Clay County, Arkansas",43723.0
132,"Cleburne County, Arkansas",49964.0
133,"Cleveland County, Arkansas",57697.0
134,"Columbia County, Arkansas",44925.0
135,"Conway County, Arkansas",47049.0
136,"Craighead County, Arkansas",51797.0
137,"Crawford County, Arkansas",54534.0
138,"Crittenden County, Arkansas",47545.0
139,"Cross County, Arkansas",40587.0
140,"Dallas County, Arkansas",34649.0
141,"Desha County, Arkansas",37421.0
142,"Drew County, Arkansas",46787.0
143,"Faulkner County, Arkansas",57367.0
144,"Franklin County, Arkansas",47256.0
145,"Fulton County, Arkansas",39839.0
146,"Garland County, Arkansas",46459.0
147,"Grant County, Arkansas",62077.0
148,"Greene County, Arkansas",53821.0
149,"Hempstead County, Arkansas",42790.0
150,"Hot Spring County, Arkansas",49582.0
151,"Howard County, Arkansas",40566.0
152,"Independence County, Arkansas",50834.0
153,"Izard County, Arkansas",41787.0
154,"Jackson County, Arkansas",40789.0
155,"Jefferson County, Arkansas",40588.0
156,"Johnson County, Arkansas",39439.0
157,"Lafayette County, Arkansas",40007.0
158,"Lawrence County, Arkansas",41188.0
159,"Lee County, Arkansas",32502.0
160,"Lincoln County, Arkansas",47903.0
161,"Little River County, Arkansas",47125.0
162,"Logan County, Arkansas",43577.0
163,"Lonoke County, Arkansas",59623.0
164,"Madison County, Arkansas",45144.0
165,"Marion County, Arkansas",39888.0
166,"Miller County, Arkansas",43634.0
167,"Mississippi County, Arkansas",47892.0
168,"Monroe County, Arkansas",35833.0
169,"Montgomery County, Arkansas",42751.0
170,"Nevada County, Arkansas",41854.0
171,"Newton County, Arkansas",40698.0
172,"Ouachita County, Arkansas",46374.0
173,"Perry County, Arkansas",46317.0
174,"Phillips County, Arkansas",35167.0
175,"Pike County, Arkansas",43133.0
176,"Poinsett County, Arkansas",36150.0
177,"Polk County, Arkansas",42915.0
178,"Pope County, Arkansas",46350.0
179,"Prairie County, Arkansas",48478.0
180,"Pulaski County, Arkansas",56171.0
181,"Randolph County, Arkansas",46495.0
182,"St. Francis County, Arkansas",37759.0
183,"Saline County, Arkansas",70550.0
184,"Scott County, Arkansas",41230.0
185,"Searcy County, Arkansas",33814.0
186,"Sebastian County, Arkansas",48627.0
187,"Sevier County, Arkansas",45838.0
188,"Sharp County, Arkansas",40437.0
189,"Stone County, Arkansas",36148.0
190,"Union County, Arkansas",47857.0
191,"Van Buren County, Arkansas",42345.0
192,"Washington County, Arkansas",57712.0
193,"White County, Arkansas",43765.0
194,"Woodruff County, Arkansas",37634.0
195,"Yell County, Arkansas",48728.0
196,California,83001.0
197,"Alameda County, California",113518.0
198,"Alpine County, California",64542.0
199,"Amador County, California",68141.0
200,"Butte County, California",54718.0
201,"Calaveras County, California",66329.0
202,"Colusa County, California",59422.0
203,"Contra Costa County, California",106484.0
204,"Del Norte County, California",47442.0
205,"El Dorado County, California",87792.0
206,"Fresno County, California",61401.0
207,"Glenn County, California",57779.0
208,"Humboldt County, California",56071.0
209,"Imperial County, California",47599.0
210,"Inyo County, California",55981.0
211,"Kern County, California",58583.0
212,"Kings County, California",60319.0
213,"Lake County, California",52345.0
214,"Lassen County, California",63803.0
215,"Los Angeles County, California",75624.0
216,"Madera County, California",68744.0
217,"Marin County, California",127601.0
218,"Mariposa County, California",56887.0
219,"Mendocino County, California",53176.0
220,"Merced County, California",58998.0
221,"Modoc County, California",46838.0
222,"Mono County, California",73204.0
223,"Monterey County, California",85031.0
224,"Napa County, California",92149.0
225,"Nevada County, California",74158.0
226,"Orange County, California",98786.0
227,"Placer County, California",100662.0
228,"Plumas County, California",58489.0
229,"Riverside County, California",76409.0
230,"Sacramento County, California",72953.0
231,"San Benito County, California",91185.0
232,"San Bernardino County, California",65984.0
233,"San Diego County, California",87126.0
234,"San Francisco County/city, California",121722.0
235,"San Joaquin County, California",70685.0
236,"San Luis Obispo County, California",79455.0
237,"San Mateo County, California",132369.0
238,"Santa Barbara County, California",86136.0
239,"Santa Clara County, California",139462.0
240,"Santa Cruz County, California",93015.0
241,"Shasta County, California",59108.0
242,"Sierra County, California",59422.0
243,"Siskiyou County, California",49441.0
244,"Solano County, California",83678.0
245,"Sonoma County, California",87366.0
246,"Stanislaus County, California",64501.0
247,"Sutter County, California",65791.0
248,"Tehama County, California",61571.0
249,"Trinity County, California",45113.0
250,"Tulare County, California",62058.0
251,"Tuolumne County, California",63336.0
252,"Ventura County, California",90961.0
253,"Yolo County, California",80668.0
254,"Yuba County, California",56278.0
255,Colorado,77688.0
256,"Adams County, Colorado",73615.0
257,"Alamosa County, Colorado",50390.0
258,"Arapahoe County, Colorado",82381.0
259,"Archuleta County, Colorado",63961.0
260,"Baca County, Colorado",42531.0
261,"Bent County, Colorado",50688.0
262,"Boulder County, Colorado",88289.0
263,"Broomfield County/city, Colorado",106263.0
264,"Chaffee County, Colorado",64220.0
265,"Cheyenne County, Colorado",56383.0
266,"Clear Creek County, Colorado",79422.0
267,"Conejos County, Colorado",39822.0
268,"Costilla County, Colorado",35639.0
269,"Crowley County, Colorado",36836.0
270,"Custer County, Colorado",60485.0
271,"Delta County, Colorado",53553.0
272,"Denver County/city, Colorado",75355.0
273,"Dolores County, Colorado",50821.0
274,"Douglas County, Colorado",122290.0
275,"Eagle County, Colorado",94309.0
276,"Elbert County, Colorado",107139.0
277,"El Paso County, Colorado",72459.0
278,"Fremont County, Colorado",52414.0
279,"Garfield County, Colorado",79958.0
280,"Gilpin County, Colorado",79622.0
281,"Grand County, Colorado",74484.0
282,"Gunnison County, Colorado",68214.0
283,"Hinsdale County, Colorado",63034.0
