,Name,Internet_coverage_rate
0,"Autauga County, Alabama",78.899997
1,"Baldwin County, Alabama",78.099996
2,"Barbour County, Alabama",60.399997000000006
3,"Bibb County, Alabama",66.10000099999999
4,"Blount County, Alabama",68.5
5,"Bullock County, Alabama",58.899999
6,"Butler County, Alabama",62.099999
7,"Calhoun County, Alabama",73.000002
8,"Chambers County, Alabama",66.499996
9,"Cherokee County, Alabama",68.599999
10,"Chilton County, Alabama",61.800003000000004
11,"Choctaw County, Alabama",58.3
12,"Clarke County, Alabama",53.200001
13,"Clay County, Alabama",68.199998
14,"Cleburne County, Alabama",60.399997000000006
15,"Coffee County, Alabama",77.600002
16,"Colbert County, Alabama",68.199998
17,"Conecuh County, Alabama",47.199999999999996
18,"Coosa County, Alabama",64.300001
19,"Covington County, Alabama",68.599999
20,"Crenshaw County, Alabama",59.600001999999996
21,"Cullman County, Alabama",69.89999999999999
22,"Dale County, Alabama",72.900003
23,"Dallas County, Alabama",63.4
24,"DeKalb County, Alabama",66.999996
25,"Elmore County, Alabama",79.60000000000001
26,"Escambia County, Alabama",57.300001
27,"Etowah County, Alabama",73.400003
28,"Fayette County, Alabama",68.900001
29,"Franklin County, Alabama",59.699999999999996
30,"Geneva County, Alabama",66.900003
31,"Greene County, Alabama",46.199998
32,"Hale County, Alabama",54.899997
33,"Henry County, Alabama",72.2
34,"Houston County, Alabama",70.39999999999999
35,"Jackson County, Alabama",67.10000000000001
36,"Jefferson County, Alabama",76.4
37,"Lamar County, Alabama",63.0
38,"Lauderdale County, Alabama",68.700004
39,"Lawrence County, Alabama",59.200001
40,"Lee County, Alabama",80.300003
41,"Limestone County, Alabama",76.600003
42,"Lowndes County, Alabama",49.399999
43,"Macon County, Alabama",55.800003
44,"Madison County, Alabama",83.89999900000001
45,"Marengo County, Alabama",53.100002
46,"Marion County, Alabama",64.599997
47,"Marshall County, Alabama",74.5
48,"Mobile County, Alabama",72.2
49,"Monroe County, Alabama",41.600001
50,"Montgomery County, Alabama",77.399999
51,"Morgan County, Alabama",72.799999
52,"Perry County, Alabama",46.199998
53,"Pickens County, Alabama",62.799996
54,"Pike County, Alabama",59.200001
55,"Randolph County, Alabama",68.900001
56,"Russell County, Alabama",66.2
57,"Shelby County, Alabama",86.399996
58,"St. Clair County, Alabama",75.199997
59,"Sumter County, Alabama",57.9
60,"Talladega County, Alabama",69.800001
61,"Tallapoosa County, Alabama",70.000005
62,"Tuscaloosa County, Alabama",77.999997
63,"Walker County, Alabama",68.000001
64,"Washington County, Alabama",58.3
65,"Wilcox County, Alabama",49.200001
66,"Winston County, Alabama",62.199998
67,"Aleutians East Borough, Alaska",67.299998
68,"Aleutians West Census Area, Alaska",75.699997
69,"Anchorage Municipality, Alaska",88.700002
70,"Bethel Census Area, Alaska",72.299999
71,"Bristol Bay Borough, Alaska",81.399995
72,"Denali Borough, Alaska",88.600004
73,"Dillingham Census Area, Alaska",76.300001
74,"Fairbanks North Star Borough, Alaska",84.800005
75,"Haines Borough, Alaska",87.400007
76,"Juneau City and Borough, Alaska",88.799995
77,"Kenai Peninsula Borough, Alaska",77.100003
78,"Ketchikan Gateway Borough, Alaska",83.600003
79,"Kodiak Island Borough, Alaska",82.499999
80,"Lake and Peninsula Borough, Alaska",61.199999000000005
81,"Matanuska-Susitna Borough, Alaska",86.200005
82,"Nome Census Area, Alaska",71.99999700000001
83,"North Slope Borough, Alaska",67.699999
84,"Northwest Arctic Borough, Alaska",70.099998
85,"Prince of Wales-Hyder Census Area, Alaska",66.799998
86,"Sitka City and Borough, Alaska",82.99999799999999
87,"Skagway Municipality, Alaska",85.500002
88,"Southeast Fairbanks Census Area, Alaska",71.799999
89,"Valdez-Cordova Census Area, Alaska",79.10000099999999
90,"Wade Hampton Census Area, Alaska",62.5
91,"Wrangell City and Borough, Alaska",71.700001
92,"Yakutat City and Borough, Alaska",69.800001
93,"Yukon-Koyukuk Census Area, Alaska",43.700004
94,"Apache County, Arizona",38.0
95,"Cochise County, Arizona",78.200001
96,"Coconino County, Arizona",77.399999
97,"Gila County, Arizona",61.500001000000005
98,"Graham County, Arizona",71.899998
99,"Greenlee County, Arizona",76.100004
100,"La Paz County, Arizona",60.600001000000006
101,"Maricopa County, Arizona",84.10000199999999
102,"Mohave County, Arizona",78.200001
103,"Navajo County, Arizona",60.699999000000005
104,"Pima County, Arizona",83.100003
105,"Pinal County, Arizona",80.500001
106,"Santa Cruz County, Arizona",69.200003
107,"Yavapai County, Arizona",80.10000000000001
108,"Yuma County, Arizona",76.300001
109,"Arkansas County, Arkansas",62.799996
110,"Ashley County, Arkansas",60.500001999999995
111,"Baxter County, Arkansas",70.8
112,"Benton County, Arkansas",64.8
113,"Boone County, Arkansas",77.700001
114,"Bradley County, Arkansas",62.799996
115,"Calhoun County, Arkansas",59.200001
116,"Carroll County, Arkansas",65.700001
117,"Chicot County, Arkansas",60.699999000000005
118,"Clark County, Arkansas",67.199999
119,"Clay County, Arkansas",63.599998
120,"Cleburne County, Arkansas",71.100003
121,"Cleveland County, Arkansas",55.399995999999994
122,"Columbia County, Arkansas",59.600001999999996
123,"Conway County, Arkansas",60.600001000000006
124,"Craighead County, Arkansas",78.899997
125,"Crawford County, Arkansas",70.300001
126,"Crittenden County, Arkansas",71.49999700000001
127,"Cross County, Arkansas",66.10000099999999
128,"Dallas County, Arkansas",57.9
129,"Desha County, Arkansas",49.100003
130,"Drew County, Arkansas",66.999996
131,"Faulkner County, Arkansas",76.499999
132,"Franklin County, Arkansas",60.699999000000005
133,"Fulton County, Arkansas",58.3
134,"Garland County, Arkansas",75.999999
135,"Grant County, Arkansas",72.900003
136,"Greene County, Arkansas",74.900001
137,"Hempstead County, Arkansas",67.199999
138,"Hot Spring County, Arkansas",64.500004
139,"Howard County, Arkansas",63.499998999999995
140,"Independence County, Arkansas",61.6
141,"Izard County, Arkansas",57.199997
142,"Jackson County, Arkansas",62.299997
143,"Jefferson County, Arkansas",56.300002000000006
144,"Johnson County, Arkansas",65.000004
145,"Lafayette County, Arkansas",55.500001
146,"Lawrence County, Arkansas",63.700002
147,"Lee County, Arkansas",52.20000099999999
148,"Lincoln County, Arkansas",57.9
149,"Little River County, Arkansas",62.600005
150,"Logan County, Arkansas",69.200003
151,"Lonoke County, Arkansas",77.499998
152,"Madison County, Arkansas",61.1
153,"Marion County, Arkansas",74.000001
154,"Miller County, Arkansas",72.299999
155,"Mississippi County, Arkansas",66.300005
156,"Monroe County, Arkansas",55.399995999999994
157,"Montgomery County, Arkansas",58.400005
158,"Nevada County, Arkansas",52.899998000000004
159,"Newton County, Arkansas",58.899999
160,"Ouachita County, Arkansas",60.000001999999995
161,"Perry County, Arkansas",66.2
162,"Phillips County, Arkansas",61.300003999999994
163,"Pike County, Arkansas",61.6
164,"Poinsett County, Arkansas",70.099998
165,"Polk County, Arkansas",62.799996
166,"Pope County, Arkansas",71.3
167,"Prairie County, Arkansas",54.399997
168,"Pulaski County, Arkansas",75.400001
169,"Randolph County, Arkansas",64.099997
170,"Saline County, Arkansas",80.800003
171,"Scott County, Arkansas",55.500001
172,"Searcy County, Arkansas",58.499998
173,"Sebastian County, Arkansas",72.799999
174,"Sevier County, Arkansas",70.8
175,"Sharp County, Arkansas",57.700002
176,"St. Francis County, Arkansas",51.899998999999994
177,"Stone County, Arkansas",47.0
