,Name,Population
0,"United States, US",331893745.0
1,"Alabama, Alabama",5039877.0
2,"Autauga County, Alabama",59095.0
3,"Baldwin County, Alabama",239294.0
4,"Barbour County, Alabama",24964.0
5,"Bibb County, Alabama",22477.0
6,"Blount County, Alabama",59041.0
7,"Bullock County, Alabama",10320.0
8,"Butler County, Alabama",18884.0
9,"Calhoun County, Alabama",115972.0
10,"Chambers County, Alabama",34541.0
11,"Cherokee County, Alabama",24996.0
12,"Chilton County, Alabama",45274.0
13,"Choctaw County, Alabama",12533.0
14,"Clarke County, Alabama",22760.0
15,"Clay County, Alabama",14190.0
16,"Cleburne County, Alabama",15103.0
17,"Coffee County, Alabama",54174.0
18,"Colbert County, Alabama",57474.0
19,"Conecuh County, Alabama",11328.0
20,"Coosa County, Alabama",10450.0
21,"Covington County, Alabama",37524.0
22,"Crenshaw County, Alabama",13083.0
23,"Cullman County, Alabama",89496.0
24,"Dale County, Alabama",49342.0
25,"Dallas County, Alabama",37619.0
26,"DeKalb County, Alabama",71813.0
27,"Elmore County, Alabama",89304.0
28,"Escambia County, Alabama",36699.0
29,"Etowah County, Alabama",103162.0
30,"Fayette County, Alabama",16148.0
31,"Franklin County, Alabama",32013.0
32,"Geneva County, Alabama",26701.0
33,"Greene County, Alabama",7629.0
34,"Hale County, Alabama",14754.0
35,"Henry County, Alabama",17459.0
36,"Houston County, Alabama",107458.0
37,"Jackson County, Alabama",52773.0
38,"Jefferson County, Alabama",667820.0
39,"Lamar County, Alabama",13689.0
40,"Lauderdale County, Alabama",94043.0
41,"Lawrence County, Alabama",33090.0
42,"Lee County, Alabama",177218.0
43,"Limestone County, Alabama",107517.0
44,"Lowndes County, Alabama",9965.0
45,"Macon County, Alabama",18895.0
46,"Madison County, Alabama",395211.0
47,"Marengo County, Alabama",18996.0
48,"Marion County, Alabama",29246.0
49,"Marshall County, Alabama",98228.0
50,"Mobile County, Alabama",413073.0
51,"Monroe County, Alabama",19648.0
52,"Montgomery County, Alabama",227434.0
53,"Morgan County, Alabama",123668.0
54,"Perry County, Alabama",8355.0
55,"Pickens County, Alabama",18801.0
56,"Pike County, Alabama",32991.0
57,"Randolph County, Alabama",21989.0
58,"Russell County, Alabama",58722.0
59,"St. Clair County, Alabama",92748.0
60,"Shelby County, Alabama",226902.0
61,"Sumter County, Alabama",12164.0
62,"Talladega County, Alabama",81524.0
63,"Tallapoosa County, Alabama",41023.0
64,"Tuscaloosa County, Alabama",227007.0
65,"Walker County, Alabama",64818.0
66,"Washington County, Alabama",15147.0
67,"Wilcox County, Alabama",10446.0
68,"Winston County, Alabama",23652.0
69,"Alaska, Alaska",732673.0
70,"Aleutians East Borough, Alaska",3398.0
71,"Aleutians West Census Area, Alaska",5059.0
72,"Anchorage Municipality, Alaska",288121.0
73,"Bethel Census Area, Alaska",18557.0
74,"Bristol Bay Borough, Alaska",838.0
75,"Chugach Census Area, Alaska",6941.0
76,"Copper River Census Area, Alaska",2630.0
77,"Denali Borough, Alaska",1593.0
78,"Dillingham Census Area, Alaska",4772.0
79,"Fairbanks North Star Borough, Alaska",95593.0
80,"Haines Borough, Alaska",2071.0
81,"Hoonah-Angoon Census Area, Alaska",2332.0
82,"Juneau City and Borough, Alaska",31973.0
83,"Kenai Peninsula Borough, Alaska",59767.0
84,"Ketchikan Gateway Borough, Alaska",13754.0
85,"Kodiak Island Borough, Alaska",12787.0
86,"Kusilvak Census Area, Alaska",8360.0
87,"Lake and Peninsula Borough, Alaska",1416.0
88,"Matanuska-Susitna Borough, Alaska",110686.0
89,"Nome Census Area, Alaska",9865.0
90,"North Slope Borough, Alaska",10972.0
91,"Northwest Arctic Borough, Alaska",7560.0
92,"Petersburg Borough, Alaska",3356.0
93,"Prince of Wales-Hyder Census Area, Alaska",5729.0
94,"Prince of Wales-Outer Ketchikan Census Area, Alaska",
95,"Sitka City and Borough, Alaska",8407.0
96,"Skagway Municipality, Alaska",1132.0
97,"Skagway-Hoonah-Angoon Census Area, Alaska",
98,"Southeast Fairbanks Census Area, Alaska",6970.0
99,"Valdez-Cordova Census Area, Alaska",
100,"Wrangell City and Borough, Alaska",2055.0
101,"Wrangell-Petersburg Census Area, Alaska",
102,"Yakutat City and Borough, Alaska",704.0
103,"Yukon-Koyukuk Census Area, Alaska",5275.0
104,"Arizona, Arizona",7276316.0
105,"Apache County, Arizona",65623.0
106,"Cochise County, Arizona",126050.0
107,"Coconino County, Arizona",145052.0
108,"Gila County, Arizona",53589.0
109,"Graham County, Arizona",39050.0
110,"Greenlee County, Arizona",9404.0
111,"La Paz County, Arizona",16408.0
112,"Maricopa County, Arizona",4496588.0
113,"Mohave County, Arizona",217692.0
114,"Navajo County, Arizona",108147.0
115,"Pima County, Arizona",1052030.0
116,"Pinal County, Arizona",449557.0
117,"Santa Cruz County, Arizona",47883.0
118,"Yavapai County, Arizona",242253.0
119,"Yuma County, Arizona",206990.0
120,"Arkansas, Arkansas",3025891.0
121,"Arkansas County, Arkansas",16722.0
122,"Ashley County, Arkansas",18674.0
123,"Baxter County, Arkansas",42144.0
124,"Benton County, Arkansas",293692.0
125,"Boone County, Arkansas",37830.0
126,"Bradley County, Arkansas",10408.0
127,"Calhoun County, Arkansas",4741.0
128,"Carroll County, Arkansas",28435.0
129,"Chicot County, Arkansas",10019.0
130,"Clark County, Arkansas",21321.0
131,"Clay County, Arkansas",14350.0
132,"Cleburne County, Arkansas",25015.0
133,"Cleveland County, Arkansas",7514.0
134,"Columbia County, Arkansas",22672.0
135,"Conway County, Arkansas",20873.0
136,"Craighead County, Arkansas",112218.0
137,"Crawford County, Arkansas",60378.0
138,"Crittenden County, Arkansas",47525.0
139,"Cross County, Arkansas",16681.0
140,"Dallas County, Arkansas",6308.0
141,"Desha County, Arkansas",11090.0
142,"Drew County, Arkansas",17110.0
143,"Faulkner County, Arkansas",125106.0
144,"Franklin County, Arkansas",17173.0
145,"Fulton County, Arkansas",12145.0
146,"Garland County, Arkansas",100330.0
147,"Grant County, Arkansas",18090.0
148,"Greene County, Arkansas",46317.0
149,"Hempstead County, Arkansas",19694.0
150,"Hot Spring County, Arkansas",33148.0
151,"Howard County, Arkansas",12698.0
152,"Independence County, Arkansas",37723.0
153,"Izard County, Arkansas",13911.0
154,"Jackson County, Arkansas",16811.0
155,"Jefferson County, Arkansas",65861.0
156,"Johnson County, Arkansas",25845.0
157,"Lafayette County, Arkansas",6163.0
