,Name,Price
0,"Autauga County, Alabama",193870.0
1,"Baldwin County, Alabama",314020.0
2,"Barbour County, Alabama",105120.0
3,"Bibb County, Alabama",117160.0
4,"Blount County, Alabama",164430.0
5,"Bullock County, Alabama",90900.0
6,"Butler County, Alabama",119210.0
7,"Calhoun County, Alabama",146080.0
8,"Chambers County, Alabama",126140.0
9,"Cherokee County, Alabama",168310.0
10,"Chilton County, Alabama",127000.0
11,"Choctaw County, Alabama",92240.0
12,"Clarke County, Alabama",129540.0
13,"Clay County, Alabama",141090.0
14,"Cleburne County, Alabama",144250.0
15,"Coffee County, Alabama",186780.0
16,"Colbert County, Alabama",158660.0
17,"Conecuh County, Alabama",101960.0
18,"Coosa County, Alabama",108400.0
19,"Covington County, Alabama",121040.0
20,"Crenshaw County, Alabama",102570.0
21,"Cullman County, Alabama",170990.0
22,"Dale County, Alabama",138290.0
23,"Dallas County, Alabama",102200.0
24,"DeKalb County, Alabama",125670.0
25,"Elmore County, Alabama",216860.0
26,"Escambia County, Alabama",122500.0
27,"Etowah County, Alabama",169640.0
28,"Fayette County, Alabama",112290.0
29,"Franklin County, Alabama",125170.0
30,"Geneva County, Alabama",128120.0
31,"Greene County, Alabama",89840.0
32,"Hale County, Alabama",107880.0
33,"Henry County, Alabama",140650.0
34,"Houston County, Alabama",167590.0
35,"Jackson County, Alabama",131120.0
36,"Jefferson County, Alabama",218160.0
37,"Lamar County, Alabama",115930.0
38,"Lauderdale County, Alabama",166040.0
39,"Lawrence County, Alabama",149670.0
40,"Lee County, Alabama",256220.0
41,"Limestone County, Alabama",237920.0
42,"Lowndes County, Alabama",79980.0
43,"Macon County, Alabama",100140.0
44,"Madison County, Alabama",268190.0
45,"Marengo County, Alabama",99890.0
46,"Marion County, Alabama",106580.0
47,"Marshall County, Alabama",218990.0
48,"Mobile County, Alabama",195410.0
49,"Monroe County, Alabama",122620.0
50,"Montgomery County, Alabama",178860.0
51,"Morgan County, Alabama",206810.0
52,"Perry County, Alabama",97340.0
53,"Pickens County, Alabama",121520.0
54,"Pike County, Alabama",159930.0
55,"Randolph County, Alabama",145220.0
56,"Russell County, Alabama",149530.0
57,"St. Clair County, Alabama",195270.0
58,"Shelby County, Alabama",298190.0
59,"Sumter County, Alabama",81790.0
60,"Talladega County, Alabama",157490.0
61,"Tallapoosa County, Alabama",131610.0
62,"Tuscaloosa County, Alabama",208800.0
63,"Walker County, Alabama",133200.0
64,"Washington County, Alabama",107060.0
65,"Wilcox County, Alabama",81660.0
66,"Winston County, Alabama",106090.0
67,"Aleutians East Borough, Alaska",157970.0
68,"Aleutians West Census Area, Alaska",365980.0
69,"Anchorage Municipality, Alaska",390650.0
70,"Bethel Census Area, Alaska",102500.0
71,"Bristol Bay Borough, Alaska",256780.0
72,"Denali Borough, Alaska",270070.0
73,"Dillingham Census Area, Alaska",180280.0
74,"Fairbanks North Star Borough, Alaska",315340.0
75,"Haines Borough, Alaska",304970.0
76,"Juneau City and Borough, Alaska",410360.0
77,"Kenai Peninsula Borough, Alaska",283590.0
78,"Ketchikan Gateway Borough, Alaska",346110.0
79,"Kodiak Island Borough, Alaska",341020.0
80,"Lake and Peninsula Borough, Alaska",139250.0
81,"Matanuska-Susitna Borough, Alaska",322060.0
82,"Nome Census Area, Alaska",184440.0
83,"North Slope Borough, Alaska",187790.0
84,"Northwest Arctic Borough, Alaska",145380.0
85,"Sitka City and Borough, Alaska",422730.0
86,"Southeast Fairbanks Census Area, Alaska",207200.0
87,"Yakutat City and Borough, Alaska",197840.0
88,"Yukon-Koyukuk Census Area, Alaska",86320.0
89,"Apache County, Arizona",185620.0
90,"Cochise County, Arizona",235460.0
91,"Coconino County, Arizona",440190.0
92,"Gila County, Arizona",242170.0
93,"Graham County, Arizona",203680.0
94,"Greenlee County, Arizona",127540.0
95,"La Paz County, Arizona",117540.0
96,"Maricopa County, Arizona",456880.0
97,"Mohave County, Arizona",267350.0
98,"Navajo County, Arizona",185620.0
99,"Pima County, Arizona",323420.0
100,"Pinal County, Arizona",338630.0
101,"Santa Cruz County, Arizona",212160.0
102,"Yavapai County, Arizona",417740.0
103,"Yuma County, Arizona",216090.0
104,"Arkansas County, Arkansas",119960.0
105,"Ashley County, Arkansas",92710.0
106,"Baxter County, Arkansas",163640.0
107,"Benton County, Arkansas",281250.0
108,"Boone County, Arkansas",154760.0
109,"Bradley County, Arkansas",106580.0
110,"Calhoun County, Arkansas",88940.0
111,"Carroll County, Arkansas",174710.0
112,"Chicot County, Arkansas",82730.0
113,"Clark County, Arkansas",141250.0
114,"Clay County, Arkansas",96840.0
115,"Cleburne County, Arkansas",153780.0
116,"Cleveland County, Arkansas",110600.0
117,"Columbia County, Arkansas",106700.0
118,"Conway County, Arkansas",138090.0
119,"Craighead County, Arkansas",176470.0
120,"Crawford County, Arkansas",154350.0
121,"Crittenden County, Arkansas",156060.0
122,"Cross County, Arkansas",101950.0
123,"Dallas County, Arkansas",95140.0
124,"Desha County, Arkansas",100370.0
125,"Drew County, Arkansas",124460.0
126,"Faulkner County, Arkansas",189320.0
127,"Franklin County, Arkansas",120810.0
128,"Fulton County, Arkansas",102680.0
129,"Garland County, Arkansas",175840.0
130,"Grant County, Arkansas",146510.0
131,"Greene County, Arkansas",151840.0
132,"Hempstead County, Arkansas",106700.0
133,"Hot Spring County, Arkansas",124580.0
134,"Howard County, Arkansas",122880.0
135,"Independence County, Arkansas",119110.0
136,"Izard County, Arkansas",99640.0
137,"Jackson County, Arkansas",86750.0
138,"Jefferson County, Arkansas",137090.0
139,"Johnson County, Arkansas",130910.0
140,"Lafayette County, Arkansas",73970.0
141,"Lawrence County, Arkansas",91740.0
142,"Lee County, Arkansas",92950.0
