,Name,White_percentage,African_percentage,Asian_percentage,Native_percentage
0,"Autauga County, Alabama",71.7,19.46,1.5,0.37
1,"Baldwin County, Alabama",81.72,7.86,0.89,0.6799999999999999
2,"Barbour County, Alabama",44.87,47.31,0.45999999999999996,0.45999999999999996
3,"Bibb County, Alabama",74.26,19.8,0.13999999999999999,0.27
4,"Blount County, Alabama",85.68,1.43,0.3,0.5700000000000001
5,"Bullock County, Alabama",22.400000000000002,71.41,0.09,0.7000000000000001
6,"Butler County, Alabama",51.190000000000005,44.25,0.75,0.15
7,"Calhoun County, Alabama",69.21000000000001,21.95,1.02,0.42
8,"Chambers County, Alabama",54.21,38.86,1.15,0.31
9,"Cherokee County, Alabama",90.93,3.95,0.22,0.44
10,"Chilton County, Alabama",78.92,9.04,0.4,0.75
11,"Choctaw County, Alabama",55.86,41.31,0.16999999999999998,0.24
12,"Clarke County, Alabama",52.1,44.42,0.41000000000000003,0.32
13,"Clay County, Alabama",79.9,13.79,0.33999999999999997,0.38999999999999996
14,"Cleburne County, Alabama",91.78,3.1,0.13999999999999999,0.35000000000000003
15,"Coffee County, Alabama",69.35,16.39,1.7000000000000002,1.2
16,"Colbert County, Alabama",76.24,16.23,0.76,0.47000000000000003
17,"Conecuh County, Alabama",50.980000000000004,44.01,0.35000000000000003,0.62
18,"Coosa County, Alabama",65.7,28.96,0.08,0.3
19,"Covington County, Alabama",82.19,12.26,0.64,0.38999999999999996
20,"Crenshaw County, Alabama",71.15,23.52,0.63,0.47000000000000003
21,"Cullman County, Alabama",90.07,1.0699999999999998,0.59,0.45999999999999996
22,"Dale County, Alabama",67.77,20.76,1.3599999999999999,0.5499999999999999
23,"Dallas County, Alabama",27.060000000000002,69.94,0.38,0.16999999999999998
24,"DeKalb County, Alabama",78.79,1.46,0.35000000000000003,2.78
25,"Elmore County, Alabama",71.77,20.7,0.77,0.38
26,"Escambia County, Alabama",60.4,29.9,0.31,4.19
27,"Etowah County, Alabama",75.97,14.64,0.8999999999999999,0.7100000000000001
28,"Fayette County, Alabama",83.73,10.639999999999999,0.31,0.44
29,"Franklin County, Alabama",75.77000000000001,3.63,0.21,2.03
30,"Geneva County, Alabama",82.82000000000001,8.41,0.33,0.6799999999999999
31,"Greene County, Alabama",16.830000000000002,80.80000000000001,0.09,0.06999999999999999
32,"Hale County, Alabama",40.58,56.38999999999999,0.16999999999999998,0.26
