,Name,Unemployment_rate
0,United States,5.4
1,Alabama,3.4
2,"Autauga County, Alabama",2.8
3,"Baldwin County, Alabama",3.0
4,"Barbour County, Alabama",5.7
5,"Bibb County, Alabama",3.5
6,"Blount County, Alabama",2.4
7,"Bullock County, Alabama",4.0
8,"Butler County, Alabama",5.3
9,"Calhoun County, Alabama",4.1
10,"Chambers County, Alabama",3.7
11,"Cherokee County, Alabama",2.5
12,"Chilton County, Alabama",2.9
13,"Choctaw County, Alabama",4.4
14,"Clarke County, Alabama",6.0
15,"Clay County, Alabama",2.7
16,"Cleburne County, Alabama",2.6
17,"Coffee County, Alabama",2.8
18,"Colbert County, Alabama",4.0
19,"Conecuh County, Alabama",4.8
20,"Coosa County, Alabama",3.1
21,"Covington County, Alabama",3.0
22,"Crenshaw County, Alabama",3.3
23,"Cullman County, Alabama",2.4
24,"Dale County, Alabama",3.1
25,"Dallas County, Alabama",7.4
26,"DeKalb County, Alabama",2.5
27,"Elmore County, Alabama",2.7
28,"Escambia County, Alabama",4.1
29,"Etowah County, Alabama",4.1
30,"Fayette County, Alabama",3.1
31,"Franklin County, Alabama",2.5
32,"Geneva County, Alabama",2.8
33,"Greene County, Alabama",6.9
34,"Hale County, Alabama",5.7
35,"Henry County, Alabama",3.2
36,"Houston County, Alabama",3.4
37,"Jackson County, Alabama",2.9
38,"Jefferson County, Alabama",3.6
39,"Lamar County, Alabama",3.0
40,"Lauderdale County, Alabama",3.2
41,"Lawrence County, Alabama",2.9
42,"Lee County, Alabama",2.8
43,"Limestone County, Alabama",2.5
44,"Lowndes County, Alabama",9.2
45,"Macon County, Alabama",6.0
46,"Madison County, Alabama",2.7
47,"Marengo County, Alabama",4.2
48,"Marion County, Alabama",2.8
49,"Marshall County, Alabama",2.4
50,"Mobile County, Alabama",4.7
51,"Monroe County, Alabama",5.6
52,"Montgomery County, Alabama",4.9
53,"Morgan County, Alabama",2.6
54,"Perry County, Alabama",8.3
55,"Pickens County, Alabama",4.1
56,"Pike County, Alabama",3.2
57,"Randolph County, Alabama",2.7
58,"Russell County, Alabama",3.1
59,"St. Clair County, Alabama",2.6
60,"Shelby County, Alabama",2.1
61,"Sumter County, Alabama",4.5
62,"Talladega County, Alabama",4.1
63,"Tallapoosa County, Alabama",4.0
64,"Tuscaloosa County, Alabama",3.6
65,"Walker County, Alabama",3.6
66,"Washington County, Alabama",4.7
67,"Wilcox County, Alabama",11.0
68,"Winston County, Alabama",2.8
69,Alaska,6.4
70,"Aleutians East Borough, Alaska",2.3
71,"Aleutians West Census Area, Alaska",3.6
72,"Anchorage Borough/municipality, Alaska",5.8
73,"Bethel Census Area, Alaska",13.1
74,"Bristol Bay Borough, Alaska",5.6
75,"Chugach Census Area, Alaska",6.7
76,"Copper River Census Area, Alaska",8.9
77,"Denali Borough, Alaska",10.1
78,"Dillingham Census Area, Alaska",8.2
79,"Fairbanks North Star Borough, Alaska",5.0
80,"Haines Borough, Alaska",11.3
81,"Hoonah-Angoon Census Area, Alaska",9.3
82,"Juneau Borough/city, Alaska",4.7
83,"Kenai Peninsula Borough, Alaska",7.3
84,"Ketchikan Gateway Borough, Alaska",7.4
85,"Kodiak Island Borough, Alaska",6.4
86,"Kusilvak Census Area, Alaska",19.9
87,"Lake and Peninsula Borough, Alaska",8.9
88,"Matanuska-Susitna Borough, Alaska",6.8
89,"Nome Census Area, Alaska",9.7
90,"North Slope Borough, Alaska",6.3
91,"Northwest Arctic Borough, Alaska",11.5
92,"Petersburg Borough, Alaska",7.0
93,"Prince of Wales-Hyder Census Area, Alaska",8.0
94,"Prince of Wales-Outer Ketchikan Census Area, Alaska",
95,"Sitka Borough/city, Alaska",4.5
96,"Skagway Municipality, Alaska",14.2
97,"Skagway-Hoonah-Angoon Census Area, Alaska",
98,"Southeast Fairbanks Census Area, Alaska",6.6
99,"Valdez-Cordova Census Area, Alaska",
100,"Wrangell Borough/city, Alaska",7.5
101,"Wrangell-Petersburg Census Area, Alaska",
102,"Yakutat Borough/city, Alaska",7.1
103,"Yukon-Koyukuk Census Area, Alaska",12.4
104,Arizona,4.9
105,"Apache County, Arizona",9.1
106,"Cochise County, Arizona",4.8
107,"Coconino County, Arizona",6.0
108,"Gila County, Arizona",5.0
109,"Graham County, Arizona",4.1
110,"Greenlee County, Arizona",4.0
111,"La Paz County, Arizona",5.1
112,"Maricopa County, Arizona",4.5
113,"Mohave County, Arizona",5.5
114,"Navajo County, Arizona",6.5
115,"Pima County, Arizona",5.0
116,"Pinal County, Arizona",4.7
117,"Santa Cruz County, Arizona",8.7
118,"Yavapai County, Arizona",4.1
119,"Yuma County, Arizona",12.9
120,Arkansas,4.0
121,"Arkansas County, Arkansas",3.4
122,"Ashley County, Arkansas",7.4
123,"Baxter County, Arkansas",3.7
124,"Benton County, Arkansas",2.8
125,"Boone County, Arkansas",3.0
126,"Bradley County, Arkansas",4.7
127,"Calhoun County, Arkansas",3.3
128,"Carroll County, Arkansas",3.4
129,"Chicot County, Arkansas",8.6
130,"Clark County, Arkansas",4.7
131,"Clay County, Arkansas",4.0
132,"Cleburne County, Arkansas",4.6
133,"Cleveland County, Arkansas",4.0
134,"Columbia County, Arkansas",5.3
135,"Conway County, Arkansas",4.2
136,"Craighead County, Arkansas",3.3
137,"Crawford County, Arkansas",3.6
138,"Crittenden County, Arkansas",5.4
139,"Cross County, Arkansas",4.4
140,"Dallas County, Arkansas",4.1
141,"Desha County, Arkansas",5.9
142,"Drew County, Arkansas",5.0
143,"Faulkner County, Arkansas",3.5
144,"Franklin County, Arkansas",3.7
145,"Fulton County, Arkansas",3.6
146,"Garland County, Arkansas",5.0
147,"Grant County, Arkansas",3.2
148,"Greene County, Arkansas",3.4
149,"Hempstead County, Arkansas",3.5
150,"Hot Spring County, Arkansas",3.9
151,"Howard County, Arkansas",3.2
152,"Independence County, Arkansas",3.9
153,"Izard County, Arkansas",5.4
154,"Jackson County, Arkansas",5.2
155,"Jefferson County, Arkansas",6.6
156,"Johnson County, Arkansas",4.7
157,"Lafayette County, Arkansas",5.8
158,"Lawrence County, Arkansas",4.3
159,"Lee County, Arkansas",5.6
160,"Lincoln County, Arkansas",4.6
161,"Little River County, Arkansas",4.5
162,"Logan County, Arkansas",4.2
163,"Lonoke County, Arkansas",3.3
164,"Madison County, Arkansas",3.1
165,"Marion County, Arkansas",4.3
166,"Miller County, Arkansas",4.8
167,"Mississippi County, Arkansas",7.2
168,"Monroe County, Arkansas",5.3
169,"Montgomery County, Arkansas",4.8
170,"Nevada County, Arkansas",4.0
171,"Newton County, Arkansas",3.0
172,"Ouachita County, Arkansas",3.9
173,"Perry County, Arkansas",4.1
174,"Phillips County, Arkansas",7.7
175,"Pike County, Arkansas",4.4
176,"Poinsett County, Arkansas",3.9
177,"Polk County, Arkansas",4.4
178,"Pope County, Arkansas",4.0
179,"Prairie County, Arkansas",3.7
180,"Pulaski County, Arkansas",4.9
181,"Randolph County, Arkansas",3.9
182,"St. Francis County, Arkansas",6.2
183,"Saline County, Arkansas",3.1
184,"Scott County, Arkansas",3.3
185,"Searcy County, Arkansas",4.2
186,"Sebastian County, Arkansas",3.7
187,"Sevier County, Arkansas",4.4
188,"Sharp County, Arkansas",4.9
189,"Stone County, Arkansas",5.0
190,"Union County, Arkansas",6.1
191,"Van Buren County, Arkansas",4.9
192,"Washington County, Arkansas",2.9
193,"White County, Arkansas",4.0
194,"Woodruff County, Arkansas",5.0
195,"Yell County, Arkansas",4.0
196,California,7.3
197,"Alameda County, California",6.1
198,"Alpine County, California",8.1
199,"Amador County, California",7.0
200,"Butte County, California",6.9
201,"Calaveras County, California",5.7
202,"Colusa County, California",12.5
203,"Contra Costa County, California",6.4
204,"Del Norte County, California",7.6
205,"El Dorado County, California",5.7
206,"Fresno County, California",9.2
207,"Glenn County, California",6.9
208,"Humboldt County, California",6.2
209,"Imperial County, California",17.3
210,"Inyo County, California",5.9
211,"Kern County, California",10.0
212,"Kings County, California",9.6
213,"Lake County, California",7.6
214,"Lassen County, California",5.9
215,"Los Angeles County, California",8.9
216,"Madera County, California",8.8
217,"Marin County, California",4.5
218,"Mariposa County, California",8.0
219,"Mendocino County, California",6.2
220,"Merced County, California",10.4
221,"Modoc County, California",7.1
